GenusSpecies,Source,habitat,location,commonname,othernames,endemic,location2,AUSnative,USAnative,nonfeed,benthic,surwcol,algphyto,macvascu,detritus,invlvfsh,fshcrcrb,blood,eggs,other,maxtl_cm,matuage,longevity,fecundity,serial,guarder,open.substratum.spawner,broodhider,livebearers,Pelagophils,euryhaline,Aestivates.during.drought,mintemp,maxtemp,muck,claysilt,sand,gravel,cobble,boulder,bedrock,vegetat,debrdetr,lwd,pelagic,rivers,sprgsubt,lacustrine,potanadr,slowcurr,modcurr,fastcurr,IUCNstatus,list1,list2,list3,list4,list5,extinct
Catostomus fumeiventris,http://www.fishtraits.info/,,North America,Owens sucker,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,50,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,-7.2,28.8,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus insignis,http://www.fishtraits.info/,freshwater,North America,Sonora sucker,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,80,3,8,50000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.8,38.6,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,LC,TRUE,FALSE,FALSE,TRUE,FALSE,O
Catostomus latipinnis,http://www.fishtraits.info/,,North America,flannelmouth sucker,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,56,5,10,40000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.7,33.6,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus occidentalis,http://www.fishtraits.info/,,North America,mountain sucker,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,25,4,9,3710,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-12,20.4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Catostomus tahoensis,http://www.fishtraits.info/,freshwater,North America,Tahoe sucker,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,61,5,7,59300,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.1,27.4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Chasmistes cujus,http://www.fishtraits.info/,,North America,cui-ui,,TRUE,USA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,70,6,41,196000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-4.4,31,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,EN,TRUE,FALSE,FALSE,FALSE,FALSE,O
Chlamydogobius eremius,,freshwater,Australia,desert goby,,FALSE,AUS,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6,0.5,NA,250,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Chlamydogobius micropterus,,freshwater,Australia,Elizabeth Springs goby,,TRUE,AUS,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,VU,TRUE,FALSE,FALSE,TRUE,TRUE,O
Chrosomus neogaeus,fishbase,freshwater,North America,finescale dace,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,NA,6,3060,NA,NA,NA,NA,FALSE,NA,NA,NA,,,NA,TRUE,TRUE,TRU,TRUE,NA,NA,TRUE,TRUE,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Coptodon zillii,fishbase.de,freshwater,Africa; Eurasia,redbelly tilapia,,FALSE,non-native,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,40,2.5,7,"1,000",FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,,,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cottus aleuticus,http://www.fishtraits.info/,freshwater,North America,coastrange sculpin,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,17,2.5,8,1764,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cottus asper,http://www.fishtraits.info/,freshwater,North America,prickly sculpin,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,30,2,5,10980,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cottus bairdii,http://www.fishtraits.info/,freshwater,North America,mottled sculpin,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,15,2,6,176,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cottus beldingii,http://www.fishtraits.info/,freshwater,North America,paiute sculpin,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,13,3,5,600,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.4,28.3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Couesius plumbeus,http://www.fishtraits.info/,freshwater,North America,lake chub,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,23,3,5,2400,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Craterocephalus dalhousiensis,,freshwater,Australia,Dalhousie hardyhead,,TRUE,AUS,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,EN,TRUE,FALSE,TRUE,TRUE,FALSE,O
Craterocephalus eyresii,,freshwater,Australia,Lake Eyre hardyhead,,TRUE,AUS,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Crenichthys baileyi,http://www.fishtraits.info/,,North America,White River springfish,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,0.5,NA,50,TRUE,NA,NA,NA,NA,FALSE,FALSE,FALSE,-5.4,31.3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,EN,TRUE,FALSE,FALSE,TRUE,TRUE,O
Crenichthys nevadae,http://www.fishtraits.info/,freshwater,North America,Railroad Valley springfish,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6,0.2,1.5,500,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-6.5,31.3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,VU,TRUE,FALSE,FALSE,TRUE,TRUE,O
Ctenopharyngodon idella,http://www.fishtraits.info/,F,Worldwide,grass carp,,FALSE,non-native,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,150,2,15,1276000,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NE,NA,NA,NA,NA,NA,O
Culaea inconstans,http://www.fishtraits.info/,,North America,brook stickleback,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,8.7,1,2.5,250,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cyprinella lutrensis,http://www.fishtraits.info/,freshwater,North America,red shiner,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9,1.5,3,1200,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-4.6,33.7,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cyprinella proserpina,http://www.fishtraits.info/,freshwater,North America,proserpine shiner,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7.5,1.5,3,300,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.2,35.2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,TRUE,FALSE,TRUE,FALSE,TRUE,O
Cyprinella venusta,http://www.fishtraits.info/,freshwater,North America,blacktail shiner,,FALSE,USA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,19,1,3.5,459,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1.7,33.8,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,LC,FALSE,FALSE,FALSE,FALSE,FALSE,O
Cyprinodon bovinus,http://www.fishtraits.info/,freshwater,North America,Leon Springs pupfish,,TRUE,USA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,0.5,2,1500,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.9,33,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,VU,TRUE,FALSE,FALSE,TRUE,TRUE,O
