"","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","alt_va","alt_acy_va","alt_datum_cd","huc_cd","data_type_cd","parm_cd","stat_cd","ts_id","loc_web_ds","medium_grp_cd","parm_grp_cd","srs_id","access_cd","begin_date","end_date","count_nu","x"
"11","USGS","06305700","Goose Creek near Acme, WY","ST","44.88636","-106.98896","S","NAD83"," 3620"," 10","NGVD29","10090101","dv","00060","00003","161297",NA,"wat",NA," 1645423","0","1984-05-01","2021-10-21","10866","06305700"
"12","USGS","06309200","MIDDLE FORK POWDER RIVER NEAR BARNUM, WY","ST","43.57774","-107.13840","S","NAD83"," 7220"," 10","NGVD29","10090201","dv","00060","00003","161310",NA,"wat",NA," 1645423","0","1961-09-01","2021-10-21","21965","06309200"
"13","USGS","06386500","CHEYENNE RIVER NEAR SPENCER, WY","ST","43.42108","-104.13160","R","NAD83"," 3626"," 10","NGVD29","10120106","dv","00010","00003","128407",NA,"wat",NA," 1645597","0","2004-03-26","2012-08-23"," 1285","06386500"
"14","USGS","06614800","MICHIGAN RIVER NEAR CAMERON PASS, CO","ST","40.49609","-105.86501","F","NAD83"," 10390"," 15","NGVD29","10180001","dv","00060","00003"," 17390",NA,"wat",NA," 1645423","0","1973-10-01","2021-10-21","17553","06614800"
"15","USGS","06625000","ENCAMPMENT RIVER AT MOUTH, NEAR ENCAMPMENT, WY","ST","41.30330","-106.71531","S","NAD83"," 6970"," 10","NGVD29","10180002","dv","00060","00003","161479",NA,"wat",NA," 1645423","0","1940-10-01","2021-10-21","29604","06625000"
"16","USGS","06630000","N PLATTE RIV AB SEMINOE RESERVOIR, NR SINCLAIR, WY","ST","41.87218","-107.05755","S","NAD83"," 6400.75","0.1","NGVD29","10180002","dv","00060","00003","161493",NA,"wat",NA," 1645423","0","1939-07-01","2021-10-21","30064","06630000"
"17","USGS","06630465","Medicine Bow R ab E Fk Med Bow nr Elk Mountain, WY","ST","41.54778","-106.40972","S","NAD83"," 7990"," 10","NGVD29","10180004","dv","00060","00003","161498",NA,"wat",NA," 1645423","0","2011-05-24","2021-10-21"," 3804","06630465"
"18","USGS","06634060","L Medicine Bow R ab Sand Cr, nr Shirley Basin, WY","ST","42.33111","-106.15528","R","NAD83"," 6971","  5","NAVD88","10180005","dv","00060","00003","161510",NA,"wat",NA," 1645423","0","2015-04-30","2021-10-21"," 2367","06634060"
"19","USGS","06634620","L MEDICINE BOW R AT BOLES SPRING, NR MEDICINE BOW","ST","41.96108","-106.20918","S","NAD83"," 6570"," 10","NGVD29","10180005","dv","00060","00003","161513",NA,"wat",NA," 1645423","0","1984-05-01","2021-10-21","13688","06634620"
"20","USGS","06635000","MEDICINE BOW R AB SEMINOE RESERVOIR, NR HANNA, WY","ST","42.00968","-106.51308","S","NAD83"," 6415.4","0.1","NGVD29","10180004","dv","00060","00003","161515",NA,"wat",NA," 1645423","0","1939-07-01","2021-10-21","30064","06635000"
"21","USGS","06646000","DEER CREEK IN CANYON, NEAR GLENROCK, WY","ST","42.71163","-106.02918","S","NAD83"," 5640"," 10","NGVD29","10180007","dv","00060","00003","161562",NA,"wat",NA," 1645423","0","1946-06-01","2021-10-21","11074","06646000"
"22","USGS","06652000","NORTH PLATTE RIVER AT ORIN, WY","ST","42.65250","-105.15914","5","NAD83"," 4660"," 10","NGVD29","10180008","dv","00060","00003","161588",NA,"wat",NA," 1645423","0","1895-04-01","2021-10-21","23271","06652000"
"23","USGS","06670500","LARAMIE RIVER NEAR FORT LARAMIE, WY","ST","42.20052","-104.53829","S","NAD83"," 4220"," 10","NGVD29","10180011","dv","00010","00003","161649",NA,"wat",NA," 1645597","0","2015-03-27","2021-10-21","  619","06670500"
"24","USGS","06674500","NORTH PLATTE RIVER AT WYOMING-NEBRASKA STATE LINE","ST","41.98858","-104.05328","S","NAD83"," 4025"," 10","NGVD29","10180009","dv","00060","00003","161666",NA,"wat",NA," 1645423","0","1929-05-01","2021-10-21","33777","06674500"
"25","USGS","06701620","TROUT CREEK BLW FERN CR NR WESTCREEK, CO.","ST","39.16749","-105.12221","F","NAD83"," 7440"," 20","NGVD29","10190002","dv","00060","00003"," 17438",NA,"wat",NA," 1645423","0","2003-05-09","2021-09-30"," 3513","06701620"
"26","USGS","06708690","WEST PLUM CREEK AT SEDALIA, CO","ST","39.42928","-104.96778","1","NAD83"," 5763","4.3","NAVD88","10190002","dv","00060","00003"," 17474",NA,"wat",NA," 1645423","0","2015-04-01","2021-10-21"," 1457","06708690"
"27","USGS","06709000","PLUM CREEK NEAR SEDALIA, CO.","ST","39.43832","-104.98304","M","NAD83"," 5720"," 10","NGVD29","10190002","dv","00060","00003"," 17478",NA,"wat",NA," 1645423","0","1942-06-18","2021-10-21","13335","06709000"
"28","USGS","06710150","BIG DRY CREEK BELOW C-470 AT HIGHLANDS RANCH, CO","ST","39.56332","-104.92776","R","NAD83"," 5675"," 10","NGVD29","10190002","dv","00060","00003"," 17489",NA,"wat",NA," 1645423","0","2003-10-01","2021-10-21"," 6596","06710150"
"29","USGS","06710385","BEAR CREEK ABOVE EVERGREEN, CO","ST","39.63317","-105.33694","S","NAD83"," 7080"," 10","NGVD29","10190002","dv","00060","00003"," 17494",NA,"wat",NA," 1645423","0","1984-08-01","2021-10-21","13596","06710385"
"30","USGS","06711040","TURKEY CREEK ABOVE BEAR CREEK LAKE NEAR MORRISON C","ST","39.64071","-105.15935","T","NAD83"," 5654","1.6","NAVD88","10190002","dv","00060","00003"," 17499",NA,"wat",NA," 1645423","0","1986-04-25","2021-10-21"," 2212","06711040"
"31","USGS","06711565","SOUTH PLATTE RIVER AT ENGLEWOOD, CO.","ST","39.66499","-105.00415","M","NAD83"," 5250"," 10","NGVD29","10190002","dv","00010","00003","243706",NA,"wat",NA," 1645597","0","1995-10-01","2021-10-22"," 8892","06711565"
"32","USGS","06711570","HARVARD GULCH AT COLORADO BLVD. AT DENVER, CO","ST","39.66920","-104.94251","S","NAD83"," 5400"," 10","NGVD29","10190002","dv","00060","00003"," 17512",NA,"wat",NA," 1645423","0","2012-04-01","2021-10-21"," 1851","06711570"
"33","USGS","06711575","HARVARD GULCH AT HARVARD PARK AT DENVER, CO","ST","39.67172","-104.97703","S","NAD83"," 5320"," 15","NGVD29","10190002","dv","00060","00003"," 17513",NA,"wat",NA," 1645423","0","1994-04-29","2021-10-21"," 2001","06711575"
"34","USGS","06712000","CHERRY CREEK NEAR FRANKTOWN, CO.","ST","39.35582","-104.76331","F","NAD83"," 6150.00"," 15","NGVD29","10190003","dv","00060","00003"," 17520",NA,"wat",NA," 1645423","0","1939-11-21","2021-10-21","29921","06712000"
"35","USGS","06713000","CHERRY CREEK BELOW CHERRY CREEK LAKE, CO","ST","39.65360","-104.86303","M","NAD83"," 5487.51"," 10","NGVD29","10190003","dv","00060","00003"," 17524",NA,"wat",NA," 1645423","0","1950-06-30","2021-10-21","22724","06713000"
"36","USGS","06714360","SAND CRK ABV BURLINGTON DITCH NR COMMERCE CITY, CO","ST","39.81025","-104.95033","F","NAD83"," 5122","1.6","NAVD88","10190003","dv","00060","00003"," 17536",NA,"wat",NA," 1645423","0","2013-01-01","2021-10-21"," 3216","06714360"
"37","USGS","06714800","LEAVENWORTH CREEK AT MOUTH NEAR GEORGETOWN, CO","ST","39.68721","-105.70028","F","NAD83"," 9280"," 20","NGVD29","10190004","dv","00060","00003"," 17552",NA,"wat",NA," 1645423","0","1994-10-01","2021-10-21"," 7376","06714800"
"38","USGS","06715000","CLEAR CREEK ABV WEST FORK CLEAR CREEK NR EMPIRE CO","ST","39.75193","-105.66195","F","NAD83"," 8280"," 20","NGVD29","10190004","dv","00060","00003"," 17558",NA,"wat",NA," 1645423","0","1994-10-01","2021-10-21"," 9415","06715000"
"39","USGS","06716100","WEST FORK CLEAR CREEK ABV MOUTH NR EMPIRE, CO","ST","39.75888","-105.66000","F","NAD83"," 8235"," 20","NGVD29","10190004","dv","00060","00003"," 17561",NA,"wat",NA," 1645423","0","1994-10-01","2021-10-21"," 9883","06716100"
"40","USGS","06718550","NORTH CLEAR CREEK ABOVE MOUTH NR BLACK HAWK, CO","ST","39.74888","-105.39972","F","NAD83"," 6910"," 20","NGVD29","10190004","dv","00060","00003"," 17569",NA,"wat",NA," 1645423","0","1994-10-01","2021-10-21"," 9882","06718550"
"41","USGS","06719845","LITTLE DRY CRK BLW FEDERAL BLVD AT WESTMINSTER, CO","ST","39.81937","-105.02145","T","NAD83"," 5232","1.6","NAVD88","10190004","dv","00060","00003","246163",NA,"wat",NA," 1645423","0","2019-03-27","2021-10-21","  940","06719845"
"42","USGS","06721000","SOUTH PLATTE RIVER AT FORT LUPTON, CO.","ST","40.11609","-104.81858","R","NAD83"," 4860"," 10","NGVD29","10190003","dv","00060","00003"," 17638",NA,"wat",NA," 1645423","0","1929-04-29","2021-10-21","16897","06721000"
"43","USGS","06724970","LEFT HAND CREEK AT HOVER ROAD NEAR LONGMONT, CO","ST","40.13428","-105.13082","M","NAD83"," 4994","4.3","NAVD88","10190005","dv","00060","00003"," 17646",NA,"wat",NA," 1645423","0","2014-03-05","2021-10-21"," 2788","06724970"
"44","USGS","06727500","FOURMILE CREEK AT ORODELL, CO","ST","40.01867","-105.32625","5","NAD83"," 5750"," 15","NGVD29","10190005","dv","00060","00003","294993",NA,"wat",NA," 1645423","0","1947-04-01","2021-09-30"," 8653","06727500"
"45","USGS","06730200","BOULDER CREEK AT NORTH 75TH ST. NEAR BOULDER, CO","ST","40.05165","-105.17888","M","NAD83"," 5106"," 10","NGVD29","10190005","dv","00060","00003"," 17663",NA,"wat",NA," 1645423","0","1986-10-01","2021-10-21","12805","06730200"
"46","USGS","06730500","BOULDER CREEK AT MOUTH NEAR LONGMONT, CO","ST","40.13878","-105.02022","5","NAD83"," 4860"," 10","NGVD29","10190005","dv","00060","00003"," 17666",NA,"wat",NA," 1645423","0","1927-04-01","2021-10-21","25210","06730500"
"47","USGS","06730525","ST VRAIN CR BLW BOULDER CR AT HWY 119 NR LONGMONT","ST","40.16047","-105.00794","T","NAD83"," 4849","4.3","NAVD88","10190005","dv","00060","00003"," 17667",NA,"wat",NA," 1645423","0","2013-09-19","2021-10-21"," 2955","06730525"
"48","USGS","06751490","NORTH FORK CACHE LA POUDRE RIVER AT LIVERMORE, CO","ST","40.78748","-105.25220","F","NAD83"," 5715"," 15","NGVD29","10190007","dv","00060","00003"," 17699",NA,"wat",NA," 1645423","0","1986-10-01","2021-10-21","12805","06751490"
"49","USGS","06752260","CACHE LA POUDRE RIVER AT FORT COLLINS, CO","ST","40.58808","-105.06922","5","NAD83"," 4940"," 10","NGVD29","10190007","dv","00060","00003"," 17702",NA,"wat",NA," 1645423","0","1975-04-08","2021-10-21","16999","06752260"
"50","USGS","06752280","CACHE LA POUDRE RIV AB BOXELDER CRK NR TIMNATH, CO","ST","40.55193","-105.01136","M","NAD83"," 4860"," 10","NGVD29","10190007","dv","00060","00003"," 17708",NA,"wat",NA," 1645423","0","1979-10-01","2021-10-21","15362","06752280"
"51","USGS","06759500","SOUTH PLATTE RIVER AT FORT MORGAN, CO","ST","40.26840","-103.80119","5","NAD83"," 4246.09"," .1","NAVD88","10190012","dv","00060","00003"," 17740",NA,"wat",NA," 1645423","0","1943-10-01","2021-10-21","12720","06759500"
"52","USGS","07079300","EF ARKANSAS R AT US HIGHWAY 24, NR LEADVILLE, CO.","ST","39.27249","-106.30641","F","NAD83"," 9900.00"," 15","NGVD29","11020001","dv","00060","00003"," 17767",NA,"wat",NA," 1645423","0","1990-05-12","2021-10-21","11486","07079300"
"53","USGS","07081200","ARKANSAS RIVER NEAR LEADVILLE, CO","ST","39.24900","-106.34811","5","NAD83"," 9665"," 10","NGVD29","11020001","dv","00060","00003"," 17776",NA,"wat",NA," 1645423","0","1967-10-01","2021-10-21","17352","07081200"
"54","USGS","07096000","ARKANSAS RIVER AT CANON CITY, CO.","ST","38.43389","-105.25721","F","NAD83"," 5342.13"," 15","NGVD29","11020002","dv","00010","00003","253218",NA,"wat",NA," 1645597","0","1993-10-23","2021-10-22"," 9902","07096000"
"55","USGS","07099060","BEAVER CREEK ABOVE HIGHWAY 115 NEAR PENROSE, CO","ST","38.48917","-104.99748","F","NAD83"," 5660."," 10","NGVD29","11020002","dv","00060","00003"," 17859",NA,"wat",NA," 1645423","0","1991-03-30","2021-10-21"," 8351","07099060"
"56","USGS","07099400","ARKANSAS RIVER ABOVE PUEBLO, CO","ST","38.27167","-104.71803","F","NAD83"," 4740"," 15","NGVD29","11020002","dv","00010","00003"," 17878",NA,"wat",NA," 1645597","0","2008-09-30","2021-10-22"," 4705","07099400"
"57","USGS","07100750","WALDO CANYON ABV MOUTH NEAR MANITOU SPRINGS, CO","ST","38.88811","-104.93569","M","NAD83"," 7391","4.3","NAVD88","11020003","dv","00060","00003"," 17894",NA,"wat",NA," 1645423","0","2014-03-01","2020-10-07"," 1691","07100750"
"58","USGS","07103700","FOUNTAIN CREEK NEAR COLORADO SPRINGS, CO.","ST","38.85471","-104.87803","F","NAD83"," 6110.00"," 15","NGVD29","11020003","dv","00060","00003"," 17898",NA,"wat",NA," 1645423","0","1958-04-01","2021-10-21","23215","07103700"
"59","USGS","07103784","GOAT CAMP CREEK ABV RESERVOIR NO. 4 AT USAFA, CO","ST","39.00889","-104.89810","F","NAD83"," 7230"," 20","NAVD88","11020003","dv","00060","00003","227314",NA,"wat",NA," 1645423","0","2018-04-01","2021-07-29","  762","07103784"
"60","USGS","07103792","RESERVOIR NO. 1 SPILLWAY AT HUSTED RD AT USAFA, CO","ST","39.00123","-104.83401","M","NAD83"," 6580"," 10","NAVD88","11020003","dv","00060","00003","227309",NA,"wat",NA," 1645423","0","2018-04-01","2021-10-06","  831","07103792"
"61","USGS","07103960","KETTLE CREEK ABOVE USAF ACADEMY, CO","ST","38.97611","-104.79861","5","NAD83"," 6620"," 10","NGVD29","11020003","dv","00060","00003","295121",NA,"wat",NA," 1645423","0","2000-04-01","2021-10-21"," 2328","07103960"
"62","USGS","07103965","PINE CREEK ABV BRIARGATE PKWY,ABV COLO SPRINGS, CO","ST","38.96750","-104.79402","F","NAD83"," 6590"," 10","NAVD88","11020003","dv","00060","00003","227482",NA,"wat",NA," 1645423","0","2018-03-22","2021-10-21"," 1310","07103965"
"63","USGS","07103987","COTTONWOOD CK AT UNION BLVD, AT COLO SPRINGS, CO","ST","38.93036","-104.77615","F","NAD83"," 6485"," 10","NAVD88","11020003","dv","00060","00003","227445",NA,"wat",NA," 1645423","0","2018-04-21","2021-10-21"," 1280","07103987"
"64","USGS","07105780","B DITCH DRAIN NEAR SECURITY, CO.","ST-DCH","38.75250","-104.76247","F","NAD83"," 5724.00"," 15","NGVD29","11020003","dv","00010","00003","217000",NA,"wat",NA," 1645597","0","2017-09-19","2021-10-22","  964","07105780"
"65","USGS","07105815","CLOVER DITCH DRAIN AT QUINN ST NR WIDEFIELD, CO","ST-DCH","38.72972","-104.76764","1","NAD83"," 5745","4.3","NAVD88","11020003","dv","00010","00003","216995",NA,"wat",NA," 1645597","0","2017-09-18","2021-10-22"," 1490","07105815"
"66","USGS","07105820","CLOVER DITCH DRAIN NEAR WIDEFIELD, CO.","ST-DCH","38.71861","-104.72914","F","NAD83"," 5620.00"," 15","NGVD29","11020003","dv","00010","00003","251156",NA,"wat",NA," 1645597","0","2017-09-14","2021-10-22"," 1473","07105820"
"67","USGS","07105940","LITTLE FOUNTAIN CREEK NEAR FOUNTAIN, CO","ST","38.64265","-104.74838","5","NAD83"," 5566","4.3","NAVD88","11020003","dv","00060","00003"," 18004",NA,"wat",NA," 1645423","0","1978-05-23","2021-10-21"," 5449","07105940"
"68","USGS","07106000","FOUNTAIN CREEK NEAR FOUNTAIN, CO.","ST","38.60166","-104.67025","F","NAD83"," 5355"," 15","NGVD29","11020003","dv","00010","00003"," 18013",NA,"wat",NA," 1645597","0","1994-10-01","2021-10-22"," 8922","07106000"
"69","USGS","07106300","FOUNTAIN CREEK NEAR PINON, CO","ST","38.42944","-104.59806","F","NAD83"," 4990"," 15","NGVD29","11020003","dv","00060","00003","240468",NA,"wat",NA," 1645423","0","1973-04-01","2021-10-21","17736","07106300"
"70","USGS","07106500","FOUNTAIN CREEK AT PUEBLO, CO.","ST","38.28778","-104.60108","F","NAD83"," 4705"," 15","NGVD29","11020003","dv","00010","00003"," 18035",NA,"wat",NA," 1645597","0","1989-10-01","2021-10-22","11273","07106500"
"71","USGS","07109500","ARKANSAS RIVER NEAR AVONDALE, CO.","ST","38.24806","-104.39914","F","NAD83"," 4509.53"," 15","NGVD29","11020002","dv","00010","00003","253415",NA,"wat",NA," 1645597","0","1990-10-01","2021-10-22","10944","07109500"
"72","USGS","07119500","APISHAPA RIVER NEAR FOWLER, CO","ST","38.10850","-103.96761","S","NAD83"," 4290","  5","NGVD29","11020007","dv","00060","00003"," 18078",NA,"wat",NA," 1645423","0","1922-04-01","2021-10-21","31376","07119500"
"73","USGS","07119700","ARKANSAS RIVER AT CATLIN DAM, NEAR FOWLER, CO.","ST","38.12584","-103.91190","F","NAD83"," 4245.92",".01","NGVD29","11020005","dv","00010","00003","253490",NA,"wat",NA," 1645597","0","1990-05-11","2021-10-22","11151","07119700"
"74","USGS","07120500","ARKANSAS RIVER NEAR ROCKY FORD, CO.","ST","38.06529","-103.68606","R","NAD83"," 4150"," 10","NGVD29","11020005","dv","00010","00003"," 18088",NA,"wat",NA," 1645597","0","2012-03-13","2021-10-22"," 3378","07120500"
"75","USGS","07124200","PURGATOIRE RIVER AT MADRID, CO.","ST","37.12946","-104.63999","F","NAD83"," 6261.61",".01","NGVD29","11020010","dv","00010","00003"," 18130",NA,"wat",NA," 1645597","0","1979-03-28","1981-07-26","  685","07124200"
"76","USGS","07128500","PURGATOIRE RIVER NEAR LAS ANIMAS, CO","ST","38.03422","-103.20142","F","NAD83"," 3878.04"," 10","NGVD29","11020010","dv","00060","00003"," 18233",NA,"wat",NA," 1645423","0","1922-01-01","2021-10-21","30313","07128500"
"77","USGS","07130500","ARKANSAS RIVER BELOW JOHN MARTIN RESERVOIR, CO.","ST","38.06640","-102.93242","F","NAD83"," 3737.40"," 15","NGVD29","11020009","dv","00060","00003"," 18241",NA,"wat",NA," 1645423","0","1938-04-01","2021-10-21","30338","07130500"
"78","USGS","07133000","ARKANSAS RIVER AT LAMAR, CO","ST","38.10579","-102.61821","5","NAD83"," 3597.39"," 15","NGVD29","11020009","dv","00060","00003","295133",NA,"wat",NA," 1645423","0","1913-06-01","2021-10-21","38311","07133000"
"79","USGS","07134180","ARKANSAS RIVER NEAR GRANADA, CO.","ST","38.09556","-102.31075","F","NAD83"," 3480.00"," 20","NGVD29","11020009","dv","00060","00003"," 18250",NA,"wat",NA," 1645423","0","1980-12-05","2021-10-21","14931","07134180"
"80","USGS","07202500","EAGLE TAIL DITCH NR MAXWELL, NM","ST-DCH","36.64864","-104.55916","S","NAD83","6110"," 11","NGVD29","11080001","dv","00060","00003"," 99613",NA,"wat",NA," 1645423","0","1945-01-01","2021-10-21","18514","07202500"
"81","USGS","07203000","VERMEJO RIVER NEAR DAWSON, NM","ST","36.68103","-104.78639","S","NAD83"," 6378","4.3","NAVD88","11080001","dv","00060","00003"," 99614",NA,"wat",NA," 1645423","0","1915-10-01","2021-10-21","36182","07203000"
"82","USGS","07206000","CIMARRON RIVER BELOW EAGLE NEST DAM, NM","ST","36.53213","-105.22814","S","NAD83","8080"," 11","NGVD29","11080002","dv","00060","00003"," 99622",NA,"wat",NA," 1645423","0","1950-05-01","2021-10-21","26107","07206000"
"83","USGS","07207500","PONIL CREEK NEAR CIMARRON, NM","ST","36.57369","-104.94681","S","NAD83"," 6630.00"," 11","NGVD29","11080002","dv","00060","00003"," 99628",NA,"wat",NA," 1645423","0","1916-01-01","2021-10-21","29910","07207500"
"84","USGS","07211500","CANADIAN RIVER NEAR TAYLOR SPRINGS, NM","ST","36.29757","-104.49547","S","NAD83","5640","10","NGVD29","11080003","dv","00060","00003"," 99631",NA,"wat",NA," 1645423","0","1939-10-01","2021-10-21","27901","07211500"
"85","USGS","07214670","CANONCITO DITCH NEAR HOLMAN, NM","ST","36.05003","-105.45750","M","NAD83",NA,NA,NA,"11080004","dv","00060","00003","220470",NA,"wat",NA," 1645423","0","2017-05-04","2021-10-21"," 1010","07214670"
"86","USGS","07214680","LA SIERRA DITCH NEAR HOLMAN, NM","ST-DCH","36.05027","-105.45458","S","NAD83"," 9400."," 20","NGVD29","11080004","dv","00060","00003"," 99636",NA,"wat",NA," 1645423","0","2003-05-02","2021-10-21"," 3144","07214680"
"87","USGS","07215500","MORA RIVER AT LA CUEVA, NM","ST","35.94512","-105.25573","S","NAD83","7025","  5","NAVD88","11080004","dv","00060","00003"," 99640",NA,"wat",NA," 1645423","0","1906-05-01","2021-10-21","34965","07215500"
"88","USGS","07216500","MORA RIVER NEAR GOLONDRINAS, NM","ST","35.89087","-105.16362","S","NAD83","6750"," 11","NGVD29","11080003","dv","00060","00003"," 99642",NA,"wat",NA," 1645423","0","1915-04-01","2021-10-21","36388","07216500"
"89","USGS","07221500","CANADIAN RIVER NEAR SANCHEZ, NM","ST","35.65483","-104.37861","S","NAD83","4500"," 20","NGVD29","11080003","dv","00060","00003"," 99652",NA,"wat",NA," 1645423","0","1912-10-01","2021-10-21","31560","07221500"
"90","USGS","07226500","UTE CREEK NEAR LOGAN, NM","ST","35.43853","-103.52579","S","NAD83","3820"," 11","NGVD29","11080007","dv","00060","00003"," 99658",NA,"wat",NA," 1645423","0","1942-01-01","2021-10-21","28622","07226500"
"91","USGS","07227000","CANADIAN RIVER AT LOGAN, NM","ST","35.35000","-103.39972","S","NAD83"," 3667.10"," 10","NGVD29","11080006","dv","00060","00003"," 99660",NA,"wat",NA," 1645423","0","1909-01-01","2021-10-21","35749","07227000"
"92","USGS","07227100","REVUELTO CREEK NEAR LOGAN, NM","ST","35.34439","-103.38961","S","NAD83","3660"," 10","NGVD29","11080008","dv","00060","00003"," 99661",NA,"wat",NA," 1645423","0","1959-08-01","2021-10-21","22728","07227100"
"93","USGS","07227500","Canadian Rv nr Amarillo, TX","ST","35.47033","-101.87963","F","NAD83"," 2989.16"," .1","NGVD29","11090105","dv","00010","00003","131769",NA,"wat",NA," 1645597","0","1995-09-13","2021-10-21"," 8028","07227500"
"94","USGS","07227890","Big Blue Ck nr Fritch, TX","ST","35.72078","-101.66253","1","NAD83"," 2933.19"," .1","NAVD88","11090105","dv","00060","00003","131775",NA,"wat",NA," 1645423","0","2010-02-26","2021-10-21"," 4253","07227890"
"95","USGS","07295400","Palo Duro Ck at Westline Rd nr Umbarger, TX","ST","35.03551","-102.15060","5","NAD83"," 3688","4.3","NAVD88","11120102","dv","00065","00003","251688",NA,"wat",NA,"17164583","0","2019-06-28","2021-10-21","  835","07295400"
"96","USGS","07295500","Tierra Blanca Ck abv Buffalo Lk nr Umbarger, TX","ST","34.84867","-102.17603","F","NAD83"," 3648.2"," .1","NGVD29","11120101","dv","00060","00003","131801",NA,"wat",NA," 1645423","0","1939-12-01","2021-10-21","14542","07295500"
"97","USGS","07297910","Pr Dog Twn Fk Red Rv nr Wayside, TX","ST","34.83756","-101.41406","F","NAD83"," 2463.74"," .1","NGVD29","11120103","dv","00060","00003","131808",NA,"wat",NA," 1645423","0","1967-10-01","2021-10-21","19738","07297910"
"98","USGS","07298500","Pr Dog Twn Fk Red Rv nr Brice, TX","ST","34.62784","-100.94070","F","NAD83"," 2049.63"," .1","NGVD29","11120103","dv","00060","00003","131821",NA,"wat",NA," 1645423","0","1939-01-01","2021-10-21","10557","07298500"
"99","USGS","07299670","Groesbeck Ck at SH 6 nr Quanah, TX","ST","34.35452"," -99.74037","F","NAD83"," 1425.69"," .1","NGVD29","11130101","dv","00060","00003","131849",NA,"wat",NA," 1645423","0","1961-12-01","2021-10-21","21875","07299670"
"100","USGS","07300000","Salt Fork Red River near Wellington, TX","ST","34.95755","-100.22095","F","NAD83"," 1940",".01","NGVD29","11120202","dv","00060","00003","131875",NA,"wat",NA," 1645423","0","1952-06-08","2021-10-21","25337","07300000"
"101","USGS","07308200","Pease Rv nr Vernon, TX","ST","34.17958"," -99.32333","S","NAD83"," 1166.03"," .1","NGVD29","11130105","dv","00010","00003","131899",NA,"wat",NA," 1645597","0","1998-10-29","1999-09-30","  292","07308200"
"102","USGS","07311900","Wichita Rv nr Seymour, TX","ST","33.70037"," -99.38869","F","NAD83"," 1152.70"," .1","NGVD29","11130206","dv","00010","00003","131982",NA,"wat",NA," 1645597","0","1996-10-01","2014-09-29"," 5725","07311900"
